strike,option_type,market_price,theoretical_price_fixed,theoretical_price_implied,implied_volatility,absolute_error_fixed,absolute_error_implied,relative_error_fixed,relative_error_implied,moneyness,delta,gamma,vega,theta,rho
22600.0,call,1927.9,2268.008434390762,2268.0084069522636,0.05,340.1084343907619,340.1084069522635,17.641393972237246,17.6413925490048,1.0995575221238938,0.9997534550547356,9.01545672336026e-52,4.575819759822934e-46,-1094.7731214536118,371.11010878615747
22650.0,call,1890.7,2218.061853507388,2218.0618030780206,0.05,327.3618535073881,327.36180307802056,17.3143202785946,17.31431761136196,1.0971302428256071,0.9997534550547356,1.4634123403761138e-49,7.427589427067742e-44,-1098.0196507054377,371.9311488498437
22700.0,call,1840.8,2168.115290628997,2168.1151992037776,0.05,327.3152906289972,327.31519920377764,17.781143558724317,17.781138592121774,1.0947136563876652,0.9997534550547356,2.086557799644752e-47,1.0590381278064052e-41,-1101.2661799572634,372.75218891352984
22750.0,call,1792.6,2118.168758844964,2118.1685953295346,0.05,325.5687588449641,325.5685953295347,18.161818523092947,18.161809401402135,1.0923076923076922,0.9997534550547356,2.6154096561768568e-45,1.3274583364984709e-39,-1104.5127092090893,373.573228977216
22800.0,call,1880.0,2068.2222799998017,2068.2219914552916,0.05,188.22227999980169,188.22199145529157,10.01182340424477,10.01180805613253,1.0899122807017543,0.9997534550547356,2.8843809593240403e-43,1.4639754583185037e-37,-1107.759238460915,374.3942690409022
22850.0,call,1682.85,2018.2758900157241,2018.2753875810486,0.05,335.42589001572424,335.42538758104865,19.932013549378986,19.93198369320193,1.087527352297593,0.9997534550547356,2.8010719477017186e-41,1.421691741225727e-35,-1111.0057677127409,375.2153091045884
22900.0,call,1755.65,1968.3296471040812,1968.3287837068056,0.05,212.67964710408114,212.67878370680546,12.114011739474332,12.113962561262522,1.0851528384279476,0.9997534550547356,2.3972150320684765e-39,1.2167130572387717e-33,-1114.2522969645665,376.0363491682746
22950.0,call,1595.2,1918.3836442264037,1918.382179832559,0.05,323.18364422640366,323.18217983255886,20.259757035255994,20.25966523524065,1.0827886710239651,0.9997534550547356,1.8094656919901348e-37,9.183992694098449e-32,-1117.4988262163924,376.8573892319608
23000.0,call,1644.25,1868.4380276929114,1868.435575958316,0.05,224.18802769291142,224.1855759583159,13.634667945440865,13.634518835841014,1.0804347826086957,0.9997534550547356,1.2055941566988125e-35,6.119026172301717e-30,-1120.7453554682183,377.67842929564694
23050.0,call,1495.7,1818.4930244616226,1818.4889720840729,0.05,322.7930244616225,322.78897208407284,21.581401648834827,21.581130713650655,1.0780911062906724,0.9997534550547356,7.095833064426851e-34,3.601509512488381e-28,-1123.991884720044,378.49946935933315
23100.0,call,1560.0,1768.5489815395922,1768.5423682098299,0.05,208.5489815395922,208.54236820982987,13.368524457666167,13.368100526271146,1.0757575757575757,0.9997534550547356,3.692312633625896e-32,1.8740433931218472e-26,-1127.23841397187,379.32050942301936
