CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"1,927.90",-,75,"2,029.55","2,107.10",75,"22,600.00","1,500",1.60,1.65,"4,050",-1.35,1.60,25.24,"73,940","16,117","65,421",
,1,-,-,-,"1,890.70",-,75,"1,853.55","2,143.60",75,"22,650.00","1,050",1.65,1.75,525,-1.20,1.75,24.84,"3,079",725,"1,194",
,1,-,-,-,"1,840.80",-,75,"1,930.35","2,006.95",75,"22,700.00","5,325",1.60,1.65,150,-1.40,1.60,24.10,"12,847",748,"4,997",
,2,-,-,-,"1,792.60",-0.50,75,"1,880.80","2,039.35","1,725","22,750.00","1,350",1.70,1.95,750,-1.00,1.95,24.00,568,119,199,
,3,2,2,33.30,"1,880.00",42.40,450,"1,841.00","1,856.40",75,"22,800.00",675,1.80,1.85,"1,950",-1.30,1.90,23.20,"18,668",633,"6,299",
,1,-,-,-,"1,682.85",-,75,"1,748.85","1,821.45",75,"22,850.00",150,1.85,2.00,"1,650",-1.15,2.00,22.70,"1,562",235,585,
,18,15,15,-,"1,755.65",113.60,75,"1,742.90","1,758.70",300,"22,900.00",525,1.90,2.15,600,-1.50,1.85,22.19,"12,426","1,210","5,076",
,1,-,-,-,"1,595.20",-,75,"1,571.95","1,832.45","1,725","22,950.00","2,175",2.00,2.25,750,-1.40,2.00,21.75,"1,954",153,665,
,319,286,325,-,"1,644.25",-34.75,450,"1,646.85","1,655.60",75,"23,000.00","35,400",2.15,2.20,300,-1.30,2.20,21.36,"61,591","12,682","27,575",
,3,-,-,-,"1,495.70",-,75,"1,583.55","1,729.35","1,725","23,050.00",900,2.20,2.50,600,-1.30,2.20,20.84,"1,395",44,488,
,14,3,3,-,"1,560.00",-30.50,750,"1,544.45","1,563.30",150,"23,100.00",675,2.20,2.50,300,-1.45,2.15,20.25,"15,381","1,429","3,847",
,14,7,7,-,"1,505.00",-36.80,75,"1,488.40","1,514.45",75,"23,150.00","1,800",2.45,2.50,"1,725",-1.30,2.50,19.99,"1,858",589,905,
,9,-,2,26.99,"1,480.00",-12.00,75,"1,427.70","1,456.55",75,"23,200.00","2,325",2.50,2.65,"2,100",-1.20,2.65,19.39,"37,660","3,077","14,854",
,7,-,-,-,"1,390.30",-,75,"1,363.95","1,446.90",75,"23,250.00",150,2.75,2.85,75,-1.20,2.90,19.03,"3,043","1,037","1,766",
,79,18,22,-,"1,360.00",-19.75,150,"1,348.15","1,357.00",150,"23,300.00","1,875",3.05,3.10,525,-1.20,3.20,18.69,"42,314","12,942","18,848",
,3,-,2,-,"1,310.25",131.20,150,"1,282.70","1,318.15",75,"23,350.00",375,3.25,3.40,"1,125",-1.45,3.20,18.28,"5,039",998,"2,274",
,34,24,27,20.12,"1,269.00",-23.10,300,"1,248.60","1,257.50",150,"23,400.00",900,3.55,3.85,"2,250",-1.20,3.80,18.03,"29,466","5,647","13,572",
,7,1,2,20.94,"1,223.00",-29.60,75,"1,194.25","1,252.55",150,"23,450.00",150,3.90,4.15,900,-1.20,4.15,17.63,"6,020","1,391","1,996",
,566,285,559,-,"1,151.20",-33.90,150,"1,152.30","1,157.45",150,"23,500.00","28,575",4.60,4.70,450,-1.15,4.60,17.26,"1,01,983","27,017","51,059",
,12,8,12,12.02,"1,112.00",105.40,150,"1,090.70","1,110.30",75,"23,550.00",225,5.20,5.35,"1,950",-1.05,5.15,16.94,"10,639","1,505","2,782",
,66,10,20,17.05,"1,068.60",-12.80,75,"1,052.45","1,059.40",150,"23,600.00",900,5.75,5.85,"4,350",-1.10,5.60,16.58,"53,521","5,803","16,875",
,13,-,4,20.95,"1,035.00",-7.05,75,"1,002.15","1,015.25",75,"23,650.00","3,825",6.20,6.45,150,-0.80,6.50,16.22,"9,726",197,"2,423",
,75,37,53,-,961.20,-30.40,225,954.20,960.70,150,"23,700.00",825,7.20,7.35,"1,350",-0.85,7.20,15.83,"60,111",253,"17,716",
,36,-,-,-,934.45,-0.85,75,886.15,963.85,450,"23,750.00",750,7.95,8.30,375,-0.75,8.00,15.43,"20,423",327,"5,393",
,171,-6,167,10.55,863.00,-24.60,75,856.25,862.70,225,"23,800.00",825,9.20,9.30,300,-0.70,9.15,15.15,"79,992","4,889","24,394",
,37,-,-,-,836.35,-1.40,75,800.00,824.30,75,"23,850.00","1,200",10.30,10.75,"1,725",-0.30,10.60,14.85,"19,389","3,890","7,498",
